EFTA	﻿A.E.L.E.
quitar la sed	désaltérer
saciar	désaltérer
desactivar	désamorcer
desarticular	désamorcer
descebar	désamorcer
desmontar	désamorcer
desamortizar	désamortir
desamortización	désamortissement
desmontaje	désamorçage
desencanto	désappointement
desengaño	désappointement
desilusión	désappointement
decepcionar	désappointer
defraudar	désappointer
desencantado	désappointé
desilusionado	désappointé
desaprender	désapprendre
olvidar	désapprendre
perder la práctica	désapprendre
de desaprobación	désapprobateur
censura	désapprobation
desaprobación	désapprobation
censurar	désapprouver
desaprobar	désapprouver
abollado	désargenté
arrancado	désargenté
limpio	désargenté
ni sin cinco céntimos	désargenté
sin dinero	désargenté
sin una perra	désargenté
sin una peseta	désargenté
conmovedor	désarmant
emocionante	désarmant
enternecedor	désarmant
que desarma	désarmant
desarme	désarmement
afectar	désarmer
ceder	désarmer
conmover	désarmer
desactivar	désarmer
desarmar	désarmer
desarmarse	désarmer
desmontar	désarmer
emocionar	désarmer
enternecer	désarmer
mover	désarmer
desarmado	désarmé
indefenso	désarmé
inerme	désarmé
aturrullamiento	désarroi
aturullamiento	désarroi
azoramiento	désarroi
confusión	désarroi
desasosiego	désarroi
desconcierto	désarroi
desorientación	désarroi
turbación	désarroi
amputación	désarticulation
desarticulación	désarticulation
descoyuntamiento	désarticulation
dislocación	désarticulation
luxación	désarticulation
mutilación	désarticulation
torcedura	désarticulation
amputar	désarticuler
desarticular	désarticuler
descoyuntar	désarticuler
mutilar	désarticuler
desarticulado	désarticulé
descoyuntado	désarticulé
confundir	désarçonner
desarzonar	désarçonner
desconcertar	désarçonner
desemparejado	désassorti
calamidad	désastre
cataclismo	désastre
catástrofe	désastre
desastre	désastre
fracaso	désastre
mal	désastre
desastrosamente	désastreusement
funestamente	désastreusement
infaustamente	désastreusement
aciago	désastreux
calamitoso	désastreux
desastroso	désastreux
funesto	désastreux
infausto	désastreux
nefasto	désastreux
desventaja	désavantage
desfavorecer	désavantager
perjudicar	désavantager
adversamente	désavantageusement
desfavorablemente	désavantageusement
adverso	désavantageux
desfavorable	désavantageux
desventajoso	désavantageux
anulación	désaveu
censura	désaveu
desaprobación	désaveu
desmentida	désaveu
negación	désaveu
rescisión	désaveu
revocación	désaveu
anular	désavouer
censurar	désavouer
condenar	désavouer
desaprobar	désavouer
desautorizar	désavouer
negar	désavouer
revocar	désavouer
descentrar	désaxer
descentrado	désaxé
desequilibrado	désaxé
lunático	désaxé
perturbado	désaxé
desequilibrado	désaxé
desequilibrada	désaxée
lunática	désaxée
desatascar	désembourber
alarmado	désemparé
desamparado	désemparé
descompuesto	désemparé
contratiempo	désenchantement
decepción	désenchantement
desencanto	désenchantement
desengaño	désenchantement
desilusión	désenchantement
desencantar	désenchanter
desengañar	désenchanter
desilusionar	désenchanter
desencantado	désenchanté
desilusionado	désenchanté
despejar	désencombrer
limpiar	désencrasser
reducción de una deuda	désendettement
desinflamar	désenflammer
deshinchar	désenfler
deshincharse	désenfler
desinflarse	désenfler
desentendimiento	désengagement
rompimiento de un compromiso	désengagement
eximir de	désengager de
exonerar de	désengager de
relevar de	désengager de
distraer	désennuyer
divertir	désennuyer
insensibilizar	désensibiliser
desierto	désert
desértico	désert
yermo	désert
desierto	désert
páramo	désert
tierra baldía	désert
tierra yerma	désert
yermo	désert
abandonar	déserter
dejar	déserter
desamparar	déserter
desasistir	déserter
desertar	déserter
desertar de	déserter
traicionar	déserter
desertor	déserteur
desertización	désertification
despoblamiento	désertification
desertizar	désertifier
descuido	désertion
deserción	désertion
falta	désertion
negligencia	désertion
desértico	désertique
desertización	désertisation
despoblamiento	désertisation
desesperación	désespoir
desesperanza	désespoir
desesperación	désespérance
desesperanza	désespérance
desesperante	désespérant
desesperanzador	désespérant
abandonar la esperanza	désespérer
abatir	désespérer
anonadar	désespérer
desalentar	désespérer
desanimar	désespérer
descorazonar	désespérer
desesperanzar	désespérer
desesperanzarse	désespérer
desesperar	désespérer
desesperarse	désespérer
desmoralizar	désespérer
perder la esperanza	désespérer
perder toda esperanza	désespérer
quitar la esperanza	désespérer
de desesperación	désespéré
desconsolado	désespéré
desesperado	désespéré
inconsolable	désespéré
sin esperanza	désespéré
desesperado	désespéré
desesperada	désespérée
con desesperación	désespérément
desconsoladamente	désespérément
desesperadamente	désespérément
inconsolablemente	désespérément
desnudar	déshabiller
desnudarse	déshabiller
desvestir	déshabiller
desnudo	déshabillé
no vestido	déshabillé
deshabillé	déshabillé
salto de cama	déshabillé
desacostumbrar	déshabituer
deshabituar	déshabituer
herbicida	désherbant
desbrozar	désherber
desherbar	désherber
desyerbar	désherber
escardar	désherber
sachar	désherber
deshonor	déshonneur
deshonra	déshonneur
impropio	déshonnête
indecente	déshonnête
impropiamente	déshonnêtement
indecentemente	déshonnêtement
afrentoso	déshonorant
difamatorio	déshonorant
escarnecedor	déshonorant
ignominioso	déshonorant
oprobioso	déshonorant
ultrajoso	déshonorant
deshonrar	déshonorer
deshumanización	déshumanisation
deshumanizar	déshumaniser
deshumidificar	déshumidifier
desecación	déshydratation
desecamiento	déshydratation
deshidratación	déshydratation
deshidratar	déshydrater
deshidratarse	déshydrater
desheredar	déshériter
desheredado	déshérité
desvalido	déshérité
desheredado	déshérité
desheredada	déshéritée
desvalida	déshéritée
denominación	désignation
designación	désignation
nombramiento	désignation
apuntar	désigner
designar	désigner
indicar	désigner
marcar	désigner
nombrar	désigner
señalar	désigner
significar	désigner
apuntar	désigner du doigt
desencanto	désillusion
desengaño	désillusion
desilusión	désillusion
desengañar	désillusionner
desilusionar	désillusionner
desengañado	désillusionné
desilusionado	désillusionné
desencarnado	désincarné
desindustrialización	désindustrialisation
desinencia	désinence
desinfectante	désinfectant
desinfectante	désinfectant
descontaminar	désinfecter
desinfectar	désinfecter
desinficionar	désinfecter
fumigar	désinfecter par fumigation
desinfección	désinfection
deflación	désinflation
desinformación	désinformation
desinsectar	désinsectiser
desintoxicación	désintoxication
desintoxicar	désintoxiquer
desintoxicarse	désintoxiquer
aniquilación	désintégration
aniquilamiento	désintégration
arruinamiento	désintégration
asolación	désintégration
asolamiento	désintégration
atoro	désintégration
desintegración	désintégration
destrucción	désintégration
aniquilar	désintégrer
deshacer	désintégrer
desintegrar	désintégrer
desintegrarse	désintégrer
destruir	désintégrer
exterminar	désintégrer
desinterés	désintéressement
desprendimiento	désintéressement
desentenderse	désintéresser
desinteresarse	désintéresser
pagar una deuda	désintéresser
abnegado	désintéressé
desapasionado	désintéressé
desinteresado	désintéressé
desprendido	désintéressé
imparcial	désintéressé
neutral	désintéressé
desapego	désintérêt
despego	désintérêt
desvío	désintérêt
falta de interés	désintérêt
indiferencia	désintérêt
abierto	désinvolte
cándido	désinvolte
desembarazado	désinvolte
desenfadado	désinvolte
desenvuelto	désinvolte
impertinente	désinvolte
informal	désinvolte
ingenuo	désinvolte
natural	désinvolte
suelto	désinvolte
atrevimiento	désinvolture
descuido	désinvolture
desenfado	désinvolture
desenvoltura	désinvolture
inconsideración	désinvolture
acucia	désir
afán	désir
anhelación	désir
anhelo	désir
ansia	désir
apetencia	désir
apetito	désir
avidez	désir
deseo	désir
atracción	désirabilité
apetecedor	désirable
apetecible	désirable
conveniente	désirable
deseable	désirable
acodiciarse	désirer
acuciar	désirer
amalayar	désirer
amalhayar	désirer
ambicionar	désirer
anhelar	désirer
ansiar	désirer
apetecer	désirer
arder en deseos de	désirer
codiciar	désirer
desear	désirer
desear ansiosamente	désirer
morirse por	désirer
suspirar por	désirer
tener vivo deseo de	désirer
ansiar	désirer ardemment
desvivirse	désirer vivement
acusioso	désireux
anhelante	désireux
ansioso	désireux
deseoso	désireux
ganoso	désireux
hambriento	désireux
sediento	désireux
deseado	désiré
renuncia	désistement
desabridamente	désobligeamment
secamente	désobligeamment
falta de amabilidad	désobligeance
desabrido	désobligeant
descortés	désobligeant
poco amable	désobligeant
seco	désobligeant
herir	désobliger
ofender	désobliger
desobedecer	désobéir
contravenir	désobéir à
infringir	désobéir à
quebrantar	désobéir à
transgredir	désobéir à
violar	désobéir à
desacato	désobéissance
desobediencia	désobéissance
desobediente	désobéissant
desodorante	désodorisant
ambientador	désodorisant
desodorante	désodorisant
desodorar	désodoriser
desodorizar	désodoriser
deplorable	désolant
desolador	désolant
enojoso	désolant
importuno	désolant
lamentable	désolant
lastimoso	désolant
miserable	désolant
molesto	désolant
aflicción	désolation
afligimiento	désolation
amargor	désolation
congoja	désolation
desconsuelo	désolation
desolación	désolation
pena	désolation
pesar	désolation
quebranto	désolation
tristeza	désolation
acuitar	désoler
afligir	désoler
angustiar	désoler
apenar	désoler
azotar	désoler
dar pena a	désoler
desolar	désoler
entristecer	désoler
desunir	désolidariser
separar	désolidariser
acongojado	désolé
afligido	désolé
angustiado	désolé
angustioso	désolé
apenado	désolé
desconsolado	désolé
desolado	désolé
dolorido	désolé
triste	désolé
arlequinesco	désopilant
bufo	désopilant
bufonesco	désopilant
bufón	désopilant
desternillante	désopilant
hilarante	désopilant
risible	désopilant
abrumar	désorbiter
aturdir	désorbiter
azarar	désorbiter
azorar	désorbiter
confundir	désorbiter
desconcertar	désorbiter
despistar	désorbiter
equivocar	désorbiter
perturbar	désorbiter
turbar	désorbiter
desarreglado	désordonné
desordenado	désordonné
revuelto	désordonné
cajón de sastre	désordre
confusión	désordre
desarreglo	désordre
desbarajuste	désordre
desconcierto	désordre
desorden	désordre
dispersión	désordre
disturbio	désordre
estropicio	désordre
gén pl	désordre
trastorno	désordre
desorganización	désorganisation
desquiciamiento	désorganisation
desorganizar	désorganiser
desquiciar	désorganiser
abrumar	désorienter
aturdir	désorienter
azarar	désorienter
azorar	désorienter
confundir	désorienter
desconcertar	désorienter
desorientar	désorienter
despistar	désorienter
equivocar	désorienter
perturbar	désorienter
turbar	désorienter
desorientado	désorienté
a partir de ahora	désormais
de ahora en adelante	désormais
de aquí en adelante	désormais
de hoy en adelante	désormais
en adelante	désormais
en el futuro	désormais
en lo sucesivo	désormais
descomponer	désosser
desguazar	désosser
deshuesar	désosser
desosar	désosser
destripar	désosser
desestabilización	déstabilisation
desestabilizar	déstabiliser
desestructuración	déstructuration
desestructurar	déstructurer
anticuado	désuet
caído en desuso	désuet
desusado	désuet
en desuso	désuet
fósil	désuet
obsoleto	désuet
pasado de moda	désuet
desunido	désuni
separado	désuni
desunión	désunion
desunir	désunir
desocupación	désœuvrement
ociosidad	désœuvrement
desocupado	désœuvré
inactivo	désœuvré
ocioso	désœuvré
desencallar	déséchouer
acallar	désénerver
amansar	désénerver
apaciguar	désénerver
aquietar	désénerver
calmar	désénerver
tranquilizar	désénerver
aclarar	désépaissir
entresacar	désépaissir
desajuste	déséquilibre
desequilibrio	déséquilibre
desnivel	déséquilibre
descompensar	déséquilibrer
desequilibrar	déséquilibrer
desnivelar	déséquilibrer
desequilibrado	déséquilibré
perturbado	déséquilibré
desequilibrado	déséquilibré
perturbado	déséquilibré
perturbado mental	déséquilibré
desequilibrada	déséquilibrée
perturbada	déséquilibrée
amovibl	détachable
coleccionable	détachable
recortable	détachable
quitamanchas	détachant
quitamanchas	détachant
desapego	détachement
desinterés	détachement
despego	détachement
desprendimiento	détachement
destacamento	détachement
destino provisional	détachement
desvío	détachement
falta de interés	détachement
indiferencia	détachement
traslado	détachement
apartar	détacher
arrancar	détacher
comisionar	détacher
delegar	détacher
desapegarse	détacher
desatar	détacher
desglosar	détacher
desligar	détacher
despegar	détacher
desprender	détacher
destacar	détacher
destinar	détacher
destinar provisionalmente	détacher
diputar	détacher
enviar	détacher
largar	détacher
limpiar	détacher
perder el afecto	détacher
quitar las manchas	détacher
quitar las manchas de	détacher
recortar	détacher
soltar	détacher
desatado	détaché
despegado	détaché
indiferente	détaché
separado	détaché
suelto	détaché
detalle	détail
minucia	détail
particularidad	détail
pormenor	détail
venta al por menor	détail
al detalle	détaillant
al por menor	détaillant
detalle	détaillant
detallista	détaillant
minorista	détaillant
detallista	détaillante
minorista	détaillante
detallar	détailler
especificar	détailler
matizar	détailler
pormenorizar	détailler
regatear	détailler
vender al detalle	détailler
vender al pormenor	détailler
circunstanciado	détaillé
detallado	détaillé
pormenorizado	détaillé
huir velozmente	détaler
irse por piernas	détaler
salir pitando	détaler
antical	détartrant
desincrustante	détartrant
antical	détartrant
desincrustante	détartrant
descalcificar	détartrer
